job_id,decision_timestamp,action1,action2,window_start_time,window_duration_hours,carbon_intensity_min,carbon_intensity_max,carbon_intensity_avg,carbon_intensity_std,job_power,job_runtime,job_processors,job_carbon_consideration,queue_length_at_decision,running_jobs_count,emissions_if_immediate,worst_case_emissions,worst_case_intensity,error,carbon_intensity_hour_0,carbon_intensity_hour_1,carbon_intensity_hour_2,carbon_intensity_hour_3,carbon_intensity_hour_4,carbon_intensity_hour_5,carbon_intensity_hour_6,carbon_intensity_hour_7,carbon_intensity_hour_8,carbon_intensity_hour_9,carbon_intensity_hour_10,carbon_intensity_hour_11,carbon_intensity_hour_12,carbon_intensity_hour_13,carbon_intensity_hour_14,carbon_intensity_hour_15,carbon_intensity_hour_16,carbon_intensity_hour_17,carbon_intensity_hour_18,carbon_intensity_hour_19,carbon_intensity_hour_20,carbon_intensity_hour_21,carbon_intensity_hour_22,carbon_intensity_hour_23,last_time_hour_0,last_time_hour_1,last_time_hour_2,last_time_hour_3,last_time_hour_4,last_time_hour_5,last_time_hour_6,last_time_hour_7,last_time_hour_8,last_time_hour_9,last_time_hour_10,last_time_hour_11,last_time_hour_12,last_time_hour_13,last_time_hour_14,last_time_hour_15,last_time_hour_16,last_time_hour_17,last_time_hour_18,last_time_hour_19,last_time_hour_20,last_time_hour_21,last_time_hour_22,last_time_hour_23
4955,3931513,16,10,3931513,24,51.38,128.59,68.15625000000001,18.832417045372413,59500.0,5641,119,0.853829,22,2,6119.253038888888,17929.571772191746,192.30888611111112,,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,3287,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
4953,3953113,11,10,3953113,24,51.38,128.59,68.15625,18.832417045372413,64000.0,16639,128,0.653277,25,1,17469.469155555555,138317.79668345684,467.59877777777785,,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,3287,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
4992,3974713,12,10,3974713,24,51.38,128.59,68.15624999999999,18.832417045372413,128000.0,9369,256,0.688654,17,1,34704.01457777778,108229.01407200002,324.89497500000004,,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,3287,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
4905,3996313,3,10,3996313,24,51.38,128.59,68.15625000000001,18.832417045372413,128000.0,6946,256,0.718375,21,1,15843.693155555555,57556.16404187655,233.05026111111113,,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,3287,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5123,4017913,36,0,4017913,24,51.38,128.59,68.15625000000001,18.832417045372413,8000.0,12180,16,0.273637,39,1,1630.682377777778,10020.986733333335,370.23350000000005,,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,3287,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5111,4024859,31,10,4024859,24,51.38,128.59,68.15625,18.832417045372413,128000.0,13362,256,0.658984,59,1,27217.842844444443,189134.25217066667,398.09915,,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5044,4046459,14,10,4046459,24,51.38,128.59,68.15625,18.832417045372413,128000.0,17425,256,0.536968,42,1,46113.031111111115,299496.94172839506,483.40611111111116,,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5238,4068059,40,10,4068059,24,51.38,128.59,68.15625,18.832417045372413,8000.0,8311,16,0.570276,42,1,1402.0932,5001.90824637037,270.82886666666667,,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5150,4089659,24,10,4089659,24,51.38,128.59,68.15625000000001,18.832417045372413,32000.0,16264,64,0.312441,55,1,8361.585333333334,66509.94537876545,460.05711111111117,,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5046,4111259,14,10,4111259,24,51.38,128.59,68.15625,18.832417045372413,20500.0,18562,41,0.783989,49,1,6116.842559722221,53470.23544070989,505.86655555555564,,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5386,4132859,55,10,4132859,24,51.38,128.59,68.15625,18.832417045372413,500.0,7312,1,0.398745,56,1,59.58275694444445,247.78445214814815,243.98906666666667,,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
4959,4154459,8,10,4154459,24,51.38,128.59,68.15625,18.832417045372413,4000.0,27468,8,0.920385,43,1,2172.886811111111,20590.385144,674.6522,,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5105,4176059,12,10,4176059,24,51.38,128.59,68.15625000000001,18.832417045372413,108000.0,38791,216,0.687052,39,1,68456.2419,1024569.6246577501,880.4186750000001,,64.53,57.17,51.53,53.37,66.94,63.81,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5178,4197659,17,10,4197659,24,51.38,128.59,68.15625,18.832417045372413,64000.0,22086,128,0.475334,36,2,22517.5712,225340.356144,573.91085,,51.38,58.53,58.25,62.25,59.56,53.65,59.84,57.09,67.71,66.44,128.59,112.39,59.94,84.87,96.72,72.4,69.8,58.99,64.53,57.17,51.53,53.37,66.94,63.81,3541,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
