algorithm,average bounded slowdown,renewable energy utilization
FCFS,140.95468753184164,-0.07013466051768683
F2,54.170188188401326,-0.06989224532213875
LPTPN,1039.3842108191009,-0.0702290550504988
GA,-97.95149911176136,-0.07037999591838377
PPO,69.70147951191326,-0.07038085863984757
PPO_Carbon,67.53167564855018,-0.06982969902901807
MARL,75.22704471799314,-0.07051564793892882
