epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
1,-0.428780303398768,-0.428780303398768,-0.428780303398768,-0.42288691156280417,-29.466959179819533,-0.42288691156280417,-29.466959179819533,-0.0037333109248720575,-0.0037333109248720575,1.7013583108782768,-6.54601363976326e-05,0.0303843798028538,0.693234147503972,0.0003842376172542572,-0.5302534699440002,0.6183534264564514
2,-0.38090350262427913,-0.38090350262427913,-0.38090350262427913,-0.3750738864855984,-29.148080693402996,-0.3750738864855984,-29.148080693402996,0.00012376781604770158,0.00012376781604770158,1.708647261063258,0.0029596330617399267,0.027875434193346236,0.5226259401275052,0.0005362704396247864,-0.012621728703379631,0.544105052947998
3,-0.45460839997924757,-0.45460839997924757,-0.45460839997924757,-0.4498993329716985,-23.545335037745662,-0.4498993329716985,-23.545335037745662,-0.00888598177375065,-0.00888598177375065,1.6836056841744318,0.004473809764022008,0.05219983552686042,0.7026166837248538,0.0023468004332648385,-0.05312447249889374,0.6482951641082764
4,-0.41268415996309793,-0.41268415996309793,-0.41268415996309793,-0.40691698186148545,-28.835890508062363,-0.40691698186148545,-28.835890508062363,-0.004638290692431231,-0.004638290692431231,1.6944651818937726,0.003851675722722171,0.037810700479894876,0.818656947877672,0.002161924209859636,0.028871336951851845,0.669146716594696
5,-0.3885475466211098,-0.3885475466211098,-0.3885475466211098,-0.3833425479948137,-26.02499313148025,-0.3833425479948137,-26.02499313148025,-0.004191565314411289,-0.004191565314411289,1.7244481924507353,0.004508335347180845,0.02112335494409005,0.5493606949845949,0.0143670497669114,0.0995248407125473,0.5557845234870911
6,-0.42803481791332243,-0.42803481791332243,-0.42803481791332243,-0.4228357418872632,-25.995380130297704,-0.4228357418872632,-25.995380130297704,-4.844825016334653e-05,-4.844825016334653e-05,1.684247900545597,0.0019296776794362814,0.0158203125,0.7866006284952164,0.025817523896694183,-0.10906441509723663,0.6541793346405029
7,-0.393433220542352,-0.393433220542352,-0.393433220542352,-0.3876087014765063,-29.122595329229856,-0.3876087014765063,-29.122595329229856,-0.010271251111084389,-0.010271251111084389,1.6878624194198184,0.005480214506961702,0.08213238909633623,0.6708642695513036,0.01940786341826121,0.1001603752374649,0.6499504446983337
8,-0.38473154186359315,-0.38473154186359315,-0.38473154186359315,-0.37911823666151834,-28.06652601037216,-0.37911823666151834,-28.06652601037216,-0.008022597152739763,-0.008022597152739763,1.6908163085579873,0.005497853427186783,0.07049112759996205,0.6657983422279358,0.042357468605041505,-0.07191603630781174,0.6229816675186157
9,-0.3664211237372674,-0.3664211237372674,-0.3664211237372674,-0.36070015626796603,-28.604837346505953,-0.36070015626796603,-28.604837346505953,-0.005753873609302735,-0.005753873609302735,1.6665868962352925,0.005913816422187004,0.018191480850377542,0.6060636734420602,0.06696622683243318,-0.05603649839758873,0.5458714365959167
10,-0.2679409261634094,-0.2679409261634094,-0.2679409261634094,-0.2610047426317864,-34.680917658114794,-0.2610047426317864,-34.680917658114794,-0.006702359265711328,-0.006702359265711328,1.7299692942337557,0.006563659334708725,0.0354158596389673,0.3710980804806406,0.032779180190779945,0.04692789167165756,0.4494282901287079
11,-0.25185817512766073,-0.25185817512766073,-0.25185817512766073,-0.24640469739782983,-27.26738864915486,-0.24640469739782983,-27.26738864915486,-0.005114379709332504,-0.005114379709332504,1.7109508636322888,0.007549581918283366,0.0644033554602753,0.3351296189833771,0.05797123638066379,0.028543854132294655,0.41826194524765015
12,-0.19065019691369053,-0.19065019691369053,-0.19065019691369053,-0.18520710956898095,-27.215436723547846,-0.18520710956898095,-27.215436723547846,-0.01098864916077053,-0.01098864916077053,1.631951700557362,0.0030000296536110745,0.07176458812318742,0.18219269735907967,0.01209686899727041,0.13186779618263245,0.3399641811847687
13,-0.21450018693458525,-0.21450018693458525,-0.21450018693458525,-0.20728706835402153,-36.06559290281843,-0.20728706835402153,-36.06559290281843,-0.003018668905662542,-0.003018668905662542,1.6472572914578698,0.0032133726635947824,0.05502443530977788,0.3311616363511844,0.030453743582422085,-0.055720556527376175,0.42105698585510254
14,-0.15016085645329175,-0.15016085645329175,-0.15016085645329175,-0.1433501407590124,-34.053578471396385,-0.1433501407590124,-34.053578471396385,-0.010707182957875457,-0.010707182957875457,1.6309516389261594,0.009195262560917234,0.11394080274145711,0.1524257775904103,0.0331147854978388,0.06565391272306442,0.28463712334632874
15,-0.14126163480517223,-0.14126163480517223,-0.14126163480517223,-0.13456867605671544,-33.4647937422838,-0.13456867605671544,-33.4647937422838,-0.008428547182120383,-0.008428547182120383,1.6439223525424798,0.002749325863987906,0.05238775555820515,0.12140757159795612,0.017450562367836635,0.010126860812306404,0.25359606742858887
16,-0.09940771096024496,-0.09940771096024496,-0.09940771096024496,-0.09316181550849825,-31.2294772587337,-0.09316181550849825,-31.2294772587337,-0.007673994410486723,-0.007673994410486723,1.6056952408768914,0.004321172418051653,0.07282321584749628,0.05076345644721931,0.047221886163408104,0.04196220263838768,0.16561925411224365
