MM-DD,2021,2022,2023,2024
05-19,103.08916666666666,73.40583333333333,104.30916666666667,43.282916666666665
05-20,106.71,74.76125,49.71,34.928333333333335
05-21,105.24791666666665,82.13583333333334,52.5,15.871250000000002
05-22,139.62291666666667,109.71791666666667,51.08041666666667,16.368333333333332
05-23,156.09166666666667,79.78958333333334,74.79666666666667,79.73
05-24,168.265,61.367916666666666,78.71375,46.925000000000004
05-25,182.86208333333332,67.6475,59.193333333333335,30.269166666666667
05-26,150.725,39.80291666666667,72.22208333333333,38.68416666666666
05-27,157.39625,40.912083333333335,64.51375,102.64375
05-28,144.55083333333334,62.14291666666667,70.49249999999999,71.56416666666667
05-29,130.17875,81.7825,63.70666666666667,38.83958333333333
05-30,113.3775,194.1916666666667,48.449999999999996,51.87625
05-31,121.73625,191.08208333333334,40.44,22.322916666666668
06-01,111.4775,157.76416666666668,37.60208333333333,22.76375
06-02,116.15291666666667,72.30958333333334,38.348333333333336,37.18958333333333
06-03,137.12166666666667,100.29125,43.153333333333336,27.28833333333333
06-04,97.22083333333335,53.82541666666666,54.04541666666666,82.73125
06-05,84.81833333333333,70.58041666666666,63.5975,22.489166666666666
06-06,37.185,103.7525,42.2975,23.32625
06-07,121.22958333333334,108.15208333333334,65.59791666666666,27.1425
06-08,90.39291666666666,114.24916666666667,58.64291666666667,36.655833333333334
06-09,95.91041666666666,130.3325,32.819583333333334,37.09625
06-10,96.07791666666667,111.49874999999999,32.998333333333335,33.251666666666665
06-11,101.49791666666665,44.04416666666666,40.60166666666667,48.202916666666674
06-12,143.38125,40.591249999999995,42.61,54.538333333333334
06-13,140.745,41.45166666666667,40.42625,82.65958333333333
06-14,110.71125,35.37083333333333,75.07833333333333,55.70791666666667
06-15,79.83958333333334,58.92291666666667,73.33375,66.34166666666667
06-16,137.31958333333333,76.43291666666667,85.60166666666667,65.60958333333333
06-17,147.99708333333334,86.55125,47.78,48.72291666666666
06-18,150.47958333333335,52.49875,61.98791666666667,47.84708333333333
06-19,116.95625,104.83666666666666,51.41375,26.1725
06-20,131.54708333333335,127.84375,61.96125,51.43
06-21,170.08333333333334,56.34583333333333,37.79875,33.63583333333333
06-22,176.81208333333333,113.93333333333334,36.77708333333333,34.47541666666667
06-23,176.86875,47.48291666666666,36.38791666666667,42.02291666666667
06-24,132.84458333333333,36.64083333333333,40.862500000000004,53.8675
06-25,88.53416666666668,45.877916666666664,84.2925,47.0025
06-26,81.27958333333333,49.474583333333335,58.78333333333333,48.2575
06-27,86.54,64.97416666666668,29.057916666666667,40.89416666666667
06-28,125.62583333333333,93.25583333333333,50.66291666666667,42.973749999999995
06-29,192.98458333333335,90.53958333333333,76.31125,41.25208333333333
06-30,183.24875,101.30333333333334,36.79,56.33166666666667
07-01,193.38250000000002,54.33583333333333,37.334583333333335,43.94291666666667
07-02,177.13541666666666,31.782916666666665,47.82874999999999,34.83291666666667
07-03,99.31083333333333,32.655,29.2825,42.4525
07-04,71.87041666666667,36.27458333333333,31.99875,42.468333333333334
07-05,168.10208333333333,33.64458333333334,45.10583333333333,34.25416666666667
07-06,136.65041666666667,28.057916666666667,27.96083333333333,61.946666666666665
07-07,172.49958333333333,31.999166666666667,32.0475,59.89333333333334
07-08,207.55958333333334,28.38625,30.410833333333333,106.40249999999999
07-09,197.27666666666667,25.076666666666668,33.48375,67.575
07-10,175.3970833333333,31.2075,25.768333333333334,58.620000000000005
07-11,113.67208333333333,34.257083333333334,29.8475,69.91291666666667
07-12,156.52916666666667,35.73583333333333,36.54958333333333,36.43958333333333
07-13,187.60958333333335,29.530416666666667,25.45625,57.42958333333333
07-14,171.0041666666667,29.45875,33.160833333333336,60.4025
07-15,119.01958333333333,28.941666666666666,40.788333333333334,51.967083333333335
07-16,86.40041666666667,39.44958333333333,50.44708333333333,57.98916666666667
07-17,72.36083333333333,33.04208333333333,28.446250000000003,31.87875
07-18,43.41916666666666,33.279583333333335,25.61125,36.1375
07-19,66.44875,43.475,33.038333333333334,44.99208333333333
07-20,52.90958333333333,37.46,28.294166666666666,70.00875
07-21,141.65375,36.57666666666667,34.52708333333333,58.97
07-22,125.77666666666666,27.070833333333336,39.227916666666665,49.8475
07-23,175.69916666666666,25.249583333333334,76.115,51.77791666666667
07-24,70.25041666666667,29.588333333333335,34.91625,45.880833333333335
07-25,46.65166666666667,27.309583333333336,35.85208333333333,53.69625
07-26,178.09666666666666,30.908749999999998,36.3125,49.85375
07-27,192.71666666666667,28.971249999999998,41.237500000000004,57.18958333333333
07-28,125.43083333333334,40.014583333333334,48.00875,58.050000000000004
07-29,46.89666666666667,30.889166666666668,51.04666666666666,59.80916666666667
07-30,47.428333333333335,30.523749999999996,58.41916666666666,65.69083333333333
07-31,67.94375000000001,33.069583333333334,39.40541666666667,51.11333333333334
08-01,51.46541666666667,30.90625,50.36041666666667,56.275
08-02,50.967083333333335,40.37833333333334,43.5225,55.343333333333334
08-03,84.2175,35.42666666666667,44.98666666666667,63.16708333333333
08-04,126.51666666666667,36.555,40.354166666666664,61.706250000000004
08-05,78.34791666666668,43.92875,55.22625,71.33333333333333
08-06,56.97,28.300833333333333,42.654583333333335,58.99333333333333
08-07,143.9425,42.485,41.50541666666667,48.326249999999995
08-08,106.3075,52.56833333333333,47.54916666666667,51.32458333333333
08-09,89.40291666666667,41.63,29.88625,57.254999999999995
08-10,99.16791666666667,44.81791666666667,29.46291666666667,49.502916666666664
08-11,107.96833333333335,59.72958333333333,51.041666666666664,57.715
08-12,111.13291666666667,77.74708333333334,42.955000000000005,44.25416666666666
08-13,90.27708333333334,38.93833333333333,62.06375,38.72083333333334
08-14,39.63708333333333,30.495833333333334,53.44916666666666,41.387499999999996
08-15,65.1975,68.64833333333333,51.36375,51.70666666666667
08-16,103.09208333333333,110.22500000000001,38.77166666666667,38.369166666666665
08-17,59.184583333333336,158.48458333333335,68.81666666666666,37.5625
08-18,28.598333333333333,96.65625,23.062916666666666,36.85541666666666
08-19,38.27833333333333,104.50583333333333,28.275000000000002,57.732499999999995
08-20,113.8975,71.15166666666667,44.95249999999999,30.373333333333335
08-21,137.95583333333335,40.72208333333334,47.1225,38.525416666666665
08-22,132.0925,119.89708333333334,33.73833333333334,39.20041666666666
08-23,176.54541666666668,116.35916666666667,33.211666666666666,34.34041666666666
08-24,194.36333333333334,99.36,57.88916666666666,39.7725
08-25,54.96958333333333,107.67958333333333,55.897083333333335,38.52125
08-26,70.03750000000001,161.02833333333334,33.61666666666667,36.31333333333333
08-27,90.45458333333333,103.65666666666668,39.560833333333335,40.768750000000004
08-28,77.03083333333333,39.091249999999995,50.53791666666667,29.296666666666667
08-29,60.99,60.32958333333334,82.90208333333334,39.14791666666667
08-30,85.65916666666668,41.912083333333335,76.57041666666667,76.40333333333334
08-31,90.69291666666668,61.01833333333334,45.06916666666667,45.40541666666667
09-01,115.35416666666667,72.89583333333333,32.86875,51.590833333333336
09-02,80.65125,62.415,32.00291666666667,40.535000000000004
09-03,89.28166666666668,44.51916666666667,37.128750000000004,35.10791666666667
09-04,84.67625,45.35041666666667,35.527499999999996,36.89541666666667
09-05,59.52333333333333,41.67666666666667,38.062916666666666,32.739583333333336
09-06,113.27541666666667,41.408750000000005,44.220416666666665,23.60666666666667
09-07,50.447916666666664,53.10375,43.36208333333334,30.85291666666667
09-08,75.71833333333333,41.3975,76.89666666666666,27.5025
09-09,56.23291666666666,75.46333333333332,30.20125,23.50916666666667
09-10,78.05125,64.65916666666666,36.20791666666667,18.712500000000002
09-11,46.63583333333333,38.922916666666666,67.05333333333333,29.719166666666666
09-12,41.1675,97.25416666666666,65.22458333333334,35.41958333333333
09-13,88.96625,24.620416666666667,72.62708333333333,26.56625
09-14,104.06625000000001,43.40208333333334,106.64375,38.094166666666666
09-15,61.40625,35.84041666666666,64.36791666666666,52.356249999999996
09-16,58.9925,37.489583333333336,40.889583333333334,29.32166666666667
09-17,45.729166666666664,59.87916666666666,37.943333333333335,38.04541666666667
09-18,34.254583333333336,78.76708333333333,32.098333333333336,41.704166666666666
09-19,38.98708333333334,38.7425,41.0475,33.32541666666667
09-20,56.812916666666666,70.06875000000001,37.15875,37.45125
09-21,59.331250000000004,135.905,36.181666666666665,36.852916666666665
09-22,46.04458333333333,89.555,40.49041666666667,42.365
09-23,68.88541666666667,68.65208333333334,34.07,38.998333333333335
09-24,61.380833333333335,94.11291666666666,42.55708333333333,44.66125
09-25,67.45,87.38041666666668,41.08208333333334,30.029583333333335
09-26,91.28916666666667,55.07916666666667,62.70333333333334,30.903750000000002
09-27,65.54625,140.15916666666666,47.73166666666666,47.89125000000001
09-28,77.11083333333333,223.05583333333334,39.23833333333334,25.91625
09-29,75.13458333333334,139.19666666666666,39.533750000000005,39.88791666666666
09-30,75.48625,162.22625000000002,27.682083333333335,43.40875
10-01,52.43125,109.42916666666667,40.42541666666667,17.840416666666666
10-02,69.595,108.86,50.60125,28.339166666666667
10-03,42.09041666666666,124.21750000000002,39.6325,30.15625
10-04,98.82666666666667,114.5825,25.767916666666665,49.5525
10-05,112.48583333333333,61.272083333333335,31.309583333333332,47.343333333333334
10-06,115.27791666666667,55.06458333333333,34.462916666666665,39.655833333333334
10-07,104.31166666666667,60.19416666666667,37.115833333333335,40.78458333333334
10-08,87.81208333333332,81.51208333333334,52.88708333333333,42.85583333333333
10-09,102.82541666666667,85.71375,121.93333333333334,47.5075
10-10,88.89958333333334,103.64958333333334,72.31208333333333,32.080416666666665
10-11,80.99458333333332,138.3025,37.339166666666664,27.24208333333333
10-12,96.78375,171.63166666666666,55.06916666666667,30.273750000000003
10-13,108.82291666666667,163.71375,57.45875,40.615833333333335
10-14,91.60833333333333,168.66958333333335,32.29666666666667,26.082083333333333
10-15,71.16708333333334,79.485,36.275,38.71666666666667
10-16,56.54291666666666,60.95041666666666,76.68958333333333,29.425416666666667
10-17,85.42916666666667,153.6625,75.15791666666667,48.9125
10-18,134.6966666666667,147.20291666666665,62.3075,74.78375
10-19,88.3175,254.80499999999998,29.435833333333335,77.86
10-20,64.24541666666667,145.99625,35.75625,58.9025
10-21,79.79208333333334,214.13875,48.23666666666667,55.36166666666667
10-22,80.50625000000001,243.595,62.4925,89.07208333333334
10-23,88.48,247.90416666666667,84.7375,70.00500000000001
10-24,77.99249999999999,131.18666666666667,62.58291666666667,67.96708333333333
10-25,101.07791666666667,126.98333333333333,69.66125,74.44041666666666
10-26,102.41333333333334,226.32500000000002,50.72708333333333,87.05375
10-27,75.51125,175.51416666666668,74.84041666666667,59.45374999999999
10-28,79.48541666666667,126.28875,86.11958333333332,66.04208333333334
10-29,93.6975,73.20583333333333,73.5725,84.7
10-30,91.6475,93.72250000000001,95.2575,52.589166666666664
10-31,80.34083333333334,192.48749999999998,89.80833333333334,51.642500000000005
11-01,78.41125,95.665,89.47166666666668,37.18958333333333
11-02,132.275,82.33791666666667,87.76083333333334,82.09125
11-03,142.5625,89.64416666666666,95.61416666666668,59.55625
11-04,104.4575,93.90416666666665,52.62375,78.00333333333333
11-05,64.54833333333333,54.74041666666667,101.97250000000001,75.07541666666667
11-06,72.27541666666666,43.4375,104.65375,87.5675
11-07,83.1825,68.12958333333333,91.12541666666668,80.12
11-08,120.64958333333334,83.70791666666666,96.49458333333332,85.34208333333333
11-09,85.46125,87.335,78.33416666666666,84.72083333333333
11-10,84.73375,63.67791666666667,73.78958333333334,90.74041666666666
11-11,104.15583333333332,49.32208333333333,87.925,148.31791666666666
11-12,109.565,108.66375,89.96708333333333,178.22833333333332
11-13,121.19833333333334,98.70416666666667,91.3,81.69625
11-14,98.65333333333332,111.20833333333333,92.35374999999999,80.56916666666667
11-15,128.40375,106.1475,159.40916666666666,64.66541666666667
11-16,129.97541666666666,54.638749999999995,94.39166666666667,46.66083333333333
11-17,113.17333333333333,62.0425,140.31333333333333,58.68625
11-18,91.0225,97.14166666666667,124.96583333333332,89.56166666666667
11-19,84.89874999999999,123.82041666666667,120.31916666666666,179.89125
11-20,78.1575,228.76541666666665,192.67541666666668,101.03791666666666
11-21,96.88625,193.83624999999998,119.49541666666666,107.11708333333333
11-22,181.0666666666667,136.41041666666666,65.83375,154.82625
11-23,141.23125000000002,142.81166666666667,61.13999999999999,78.32833333333333
11-24,103.43041666666666,197.4725,73.86958333333332,54.09
11-25,98.01208333333334,133.15791666666667,117.07958333333333,55.93083333333333
11-26,204.93083333333334,131.22833333333332,153.6029166666667,67.9575
11-27,144.57708333333332,133.62541666666667,132.89875,111.74624999999999
11-28,169.28458333333333,116.80624999999999,147.20208333333332,85.65958333333333
11-29,163.58,115.95083333333334,240.10458333333335,98.87333333333333
11-30,162.28666666666666,145.24666666666667,177.785,67.01083333333334
12-01,158.1425,137.45708333333332,231.42291666666665,75.38833333333334
12-02,128.82708333333332,131.34125,216.31083333333333,74.85958333333333
12-03,157.80833333333334,140.71958333333333,232.36916666666664,79.0975
12-04,119.9225,152.44916666666666,248.9779166666667,90.14708333333334
12-05,105.93666666666667,147.57750000000001,140.9725,86.98333333333333
12-06,231.14333333333332,169.93291666666667,130.54999999999998,78.13166666666667
12-07,204.73791666666668,250.69958333333332,189.25291666666666,70.17583333333333
12-08,120.43291666666666,236.64125,116.64708333333333,65.94041666666666
12-09,167.57791666666665,178.78,132.27375,50.15
12-10,159.44833333333335,203.96375,137.725,139.89166666666668
12-11,162.81333333333333,228.00708333333333,171.77125,113.195
12-12,160.745,151.51166666666668,180.88833333333332,118.13666666666667
12-13,140.84833333333333,236.99833333333333,114.59166666666665,95.32583333333334
12-14,119.21958333333333,209.37666666666667,194.75875,69.80541666666666
12-15,84.47458333333334,329.1791666666667,100.76375,63.094166666666666
12-16,85.76041666666667,325.4266666666667,50.587916666666665,44.93333333333334
12-17,117.99583333333334,150.03125,31.91416666666667,35.712916666666665
12-18,95.69083333333333,74.48291666666667,46.15833333333333,48.11083333333334
12-19,87.43708333333332,122.83208333333333,60.93958333333333,54.7075
12-20,132.1225,128.23166666666665,75.6475,29.795
12-21,186.7175,119.40166666666666,91.79166666666667,33.38791666666666
12-22,159.97458333333333,117.54375,88.61541666666666,65.58583333333333
12-23,131.86416666666668,128.55041666666668,77.63875,65.6675
12-24,115.22208333333333,217.20541666666668,96.84916666666668,80.95458333333333
12-25,128.04916666666665,143.88916666666668,81.75583333333333,67.79666666666667
12-26,218.82083333333333,60.315,91.12541666666665,79.3975
12-27,153.31583333333333,72.04458333333334,90.58375,80.63416666666667
12-28,162.78625,102.60708333333334,87.62541666666668,80.51166666666667
12-29,209.24791666666667,74.46666666666667,80.63250000000001,60.58041666666667
12-30,127.07541666666667,91.41666666666667,104.41416666666667,54.50125
12-31,115.77166666666666,94.75999999999999,114.87458333333335,48.54
