epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
1,-1517.0747073118107,-1517.0747073118096,-1517.0747073118096,-0.011111216366174395,-1517.063596095443,-0.011111216366174402,-1517.063596095443,-0.03054793464427348,-0.0019164213520707562,2.8631514000892637,0.0036725188164564316,0.01780517578125,374869.99021484377,0.3404171505570412,-190.36106872558594,142.85267639160156
2,-1389.3833777742143,-1389.3833777742173,-1389.3833777742173,-0.05578960843435228,-1389.3275881657821,-0.0557896084343523,-1389.3275881657796,-0.03144054898642935,-0.0032144161890028046,2.8226133462786676,0.004647023052748409,0.0331396484375,231580.8844921875,0.47423867393285035,-45.92229461669922,301.2110595703125
3,-1238.3175216715638,-1238.3175216715651,-1238.3175216715651,-0.10029536749369505,-1238.217226304072,-0.10029536749369505,-1238.2172263040704,-0.03128989215416368,-0.003082074756966904,2.8207818029820917,0.004262168036366348,0.03048583984375,184570.6471484375,0.4608446706831455,-24.694961547851562,263.3409423828125
4,-1114.504370534039,-1114.50437053404,-1114.50437053404,-0.1127066120150675,-1114.3916639220251,-0.11270661201506739,-1114.3916639220258,-0.03158952321624384,-0.003784527154348325,2.7804996675252913,0.004033328361765598,0.03595703125,126954.98276855469,0.517428541816771,-19.326757431030273,275.5467834472656
5,-937.3639490928422,-937.3639490928408,-937.3639490928408,-0.1677114568636956,-937.1962376359777,-0.16771145686369582,-937.1962376359774,-0.031949619558872655,-0.004153737346932758,2.7795882834494114,0.005969143892798456,0.04120361328125,82114.32417480469,0.5669066961854696,-0.9727960228919983,186.76455688476562
6,-874.1036346089148,-874.1036346089161,-874.1036346089161,-0.2471172324898761,-873.8565173764264,-0.24711723248987646,-873.856517376426,-0.03299122292839456,-0.0054708265588851645,2.7520397071540357,0.005329102995747234,0.04958740234375,74368.34266113282,0.5669635208696127,-12.402544021606445,176.79302978515625
7,-838.5232757706879,-838.5232757706875,-838.5232757706875,-0.1675697225150085,-838.3557060481727,-0.16756972251500823,-838.3557060481733,-0.03205720909521915,-0.004493737516459078,2.75634722083807,0.004849794453766662,0.03436279296875,60822.88065673828,0.6063285205513239,-13.609416961669922,146.74258422851562
8,-696.0858146644309,-696.0858146644297,-696.0858146644297,-0.2574257524352184,-695.8283889119941,-0.257425752435218,-695.8283889119934,-0.03363323838042561,-0.006439835150085855,2.7193403843045236,0.005526628104416886,0.04927490234375,51471.01981201172,0.5729322867840528,4.9556169509887695,150.628173828125
9,-596.5332692344217,-596.5332692344208,-596.5332692344208,-0.2728031038737013,-596.260466130547,-0.27280310387370194,-596.2604661305464,-0.03399654389999341,-0.007023028766852803,2.697351559996605,0.005648991902926354,0.05041748046875,34795.51976318359,0.5701121724769473,-2.012709140777588,124.5486831665039
10,-530.4903469781058,-530.4903469781065,-530.4903469781065,-0.29048502576169843,-530.1998619523449,-0.29048502576169805,-530.1998619523442,-0.03486103698902298,-0.00835847515030764,2.6502562421560287,0.005365939631519723,0.06653564453125,33801.97349853515,0.555770275592804,0.5317878127098083,102.64403533935547
11,-443.00676810964774,-443.0067681096471,-443.0067681096471,-0.27413346118377474,-442.73263464846326,-0.2741334611837754,-442.73263464846264,-0.03436502001481131,-0.008222375275217929,2.614264526516199,0.00521796438311867,0.055341796875,19792.5984375,0.6022628341987729,6.099565505981445,89.7227554321289
12,-381.7947512960316,-381.7947512960324,-381.7947512960324,-0.26745435319683236,-381.5272969428354,-0.2674543531968325,-381.5272969428357,-0.03575686522410251,-0.009959027839067857,2.579783795624971,0.006096803904292756,0.07734130859375,9833.619132080079,0.6766904504597187,0.3676301836967468,76.60369873046875
13,-322.2613991843325,-322.26139918433284,-322.26139918433284,-0.3403230552112103,-321.92107612912184,-0.3403230552112105,-321.92107612912156,-0.035350672995555214,-0.010004031700518681,2.534664184451103,0.005293218805418292,0.0732958984375,10311.375467529297,0.6115595994144678,1.9294546842575073,61.9795036315918
14,-278.3711519639083,-278.37115196390874,-278.37115196390874,-0.31726396468577744,-278.0538879992232,-0.31726396468577805,-278.0538879992236,-0.037568906403612344,-0.012309783161035738,2.5259123900532723,0.008017765297190636,0.0840087890625,6259.759537658691,0.6617391703277826,2.559356451034546,56.95439910888672
