epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
1,-0.08331537824124989,-0.08331537824124999,-0.08331537824124999,-0.08331537824124999,0.0,-0.08331537824124989,0.0,-0.03555405221297406,-0.002925297675683396,3.2628755225241184,0.005871125611593015,0.05223876953125,0.26839611552190035,4.892796277999878e-07,-0.015590301714837551,0.135817289352417
2,-0.01336793105694442,-0.01336793105694444,-0.01336793105694444,-0.01336793105694444,0.0,-0.01336793105694442,0.0,-0.03406233001383953,-0.0016381462255958467,3.242418453395367,0.004488574896240607,0.02429931640625,0.007265344576735515,1.7745420336723328e-06,0.018126945942640305,0.03738589957356453
3,-0.009684577672916661,-0.009684577672916668,-0.009684577672916668,-0.009684577672916668,0.0,-0.009684577672916661,0.0,-0.03653360413038172,-0.004016055632091593,3.251754920184612,0.006481437371694483,0.048466796875,0.004984668808610877,2.468898892402649e-06,0.0009075994021259248,0.01821533963084221
4,-0.0047654195199999935,-0.004765419520000001,-0.004765419520000001,-0.004765419520000001,0.0,-0.0047654195199999935,0.0,-0.03645192891242914,-0.004074173450353555,3.237775618880987,0.00862678867415525,0.07682861328125,0.0008227833682030905,1.3188831508159637e-05,0.0013732563238590956,0.007731923367828131
5,-0.0018574450865277779,-0.0018574450865277792,-0.0018574450865277792,-0.0018574450865277792,0.0,-0.0018574450865277779,0.0,-0.03674001069623046,-0.004256010337267071,3.2484001214802265,0.006107299864233937,0.06214111328125,0.00021858475388739863,5.4708682000637054e-05,0.0007784448098391294,0.004023359157145023
6,-0.001192475615694442,-0.0011924756156944443,-0.0011924756156944443,-0.0011924756156944443,0.0,-0.001192475615694442,0.0,-0.035969638373935596,-0.0036582781159086152,3.231136093586683,0.006267118574178312,0.05361572265625,0.00015456947805375876,0.00013737160712480546,0.00020253437105566263,0.0032138873357325792
7,-0.00042126105166666756,-0.0004212610516666667,-0.0004212610516666667,-0.0004212610516666667,0.0,-0.00042126105166666756,0.0,-0.03691821085521951,-0.004465208952897228,3.245300250649452,0.007618168709159363,0.0612939453125,8.134294657047292e-06,0.0014577145501971246,0.0002661691978573799,0.0008612257661297917
8,-0.0007813744231944436,-0.000781374423194444,-0.000781374423194444,-0.000781374423194444,0.0,-0.0007813744231944436,0.0,-0.03672507197945379,-0.0044616533265798355,3.226341936737299,0.00664487881353125,0.0995947265625,4.3958006504567496e-05,0.0002859796211123467,-0.00010278491390636191,0.0017118873074650764
9,-0.000137752057083333,-0.00013775205708333336,-0.00013775205708333336,-0.00013775205708333336,0.0,-0.000137752057083333,0.0,-0.03730395904975012,-0.0050223339424701405,3.2281625896692274,0.007804574511246756,0.0619140625,6.178307185589205e-07,0.017965847179293632,0.000156178924953565,0.0003334534994792193
10,-0.0001626315456944444,-0.00016263154569444446,-0.00016263154569444446,-0.00016263154569444446,0.0,-0.0001626315456944444,0.0,-0.036054044937482106,-0.0039351680400432085,3.211887764185667,0.006377997228701133,0.06146484375,1.0038024602465612e-06,0.011396619863808155,-3.4961187793669524e-06,0.0002568289346527308
11,-5.8431579722222135e-05,-5.84315797222222e-05,-5.84315797222222e-05,-5.84315797222222e-05,0.0,-5.8431579722222135e-05,0.0,-0.03652556862449274,-0.004545736933068838,3.1979832516610625,0.007517756209126674,0.06289794921875,6.332733108460609e-08,0.14707156609743832,3.223406019969843e-05,8.446533320238814e-05
