epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
1,-0.03617807919097221,-0.03617807919097221,-0.03617807919097221,-0.03617807919097221,0.0,-0.03617807919097221,0.0,-0.03608953667571768,-0.0023963539418764414,3.3693183413147927,0.00661470031918725,0.0392431640625,0.039741045641276285,0.5636049884930253,-0.04681640490889549,0.11187513917684555
2,-0.03074608480680555,-0.03074608480680555,-0.03074608480680555,-0.03074608480680555,0.0,-0.03074608480680555,0.0,-0.03652277621789835,-0.002928301258434658,3.3594475789368152,0.0045709303530748,0.04141845703125,0.010989849113029778,0.7940786600485444,3.677491258713417e-05,0.13165882229804993
3,-0.020968955023888892,-0.020968955023888892,-0.020968955023888892,-0.020968955023888892,0.0,-0.020968955023888892,0.0,-0.03566590060247108,-0.002155605090665631,3.3510296200215817,0.004724210196582135,0.03124267578125,0.01278301702142926,-0.0012472075968980789,6.240226502995938e-05,0.08048564940690994
4,-0.016996061459861107,-0.016996061459861107,-0.016996061459861107,-0.016996061459861107,0.0,-0.016996061459861107,0.0,-0.035504002040252086,-0.0019544996293552686,3.3549503165483476,0.006081490392098203,0.0518408203125,0.004116902540044975,2.5209784507751466e-06,0.0010533969616517425,0.016579320654273033
5,-0.005313042214444447,-0.005313042214444447,-0.005313042214444447,-0.005313042214444447,0.0,-0.005313042214444447,0.0,-0.03737785783247091,-0.0038698580478376244,3.3508000430464744,0.013649484780034981,0.09584228515625,0.0013984794563748437,8.423291146755219e-06,0.003112231381237507,0.010966325178742409
6,-0.0042474363783333345,-0.0042474363783333345,-0.0042474363783333345,-0.0042474363783333345,0.0,-0.0042474363783333345,0.0,-0.03662606174708344,-0.003126188414316857,3.3499873992800713,0.007306603530305438,0.0757763671875,0.0005423535827321757,1.969754695892334e-05,0.00021704065147787333,0.005988466553390026
7,-0.002230088073472223,-0.002230088073472223,-0.002230088073472223,-0.002230088073472223,0.0,-0.002230088073472223,0.0,-0.03713843181380071,-0.003729817718703998,3.3408614762127398,0.006076834114792291,0.05964111328125,0.00023248631322985602,4.786565899848938e-05,0.0006028919597156346,0.004040606785565615
8,-0.00022748862583333337,-0.00022748862583333337,-0.00022748862583333337,-0.00022748862583333337,0.0,-0.00022748862583333337,0.0,-0.03743849663878791,-0.00406914680817863,3.336935055702925,0.013946375259256455,0.1140966796875,1.6864630236845812e-06,0.00690178282558918,0.00030421867268159986,0.0006145166698843241
9,-0.0008857243548611108,-0.0008857243548611108,-0.0008857243548611108,-0.0008857243548611108,0.0,-0.0008857243548611108,0.0,-0.03672275097109377,-0.0034919984139560258,3.323075327724218,0.006512666469207034,0.0675341796875,0.0001477451035488997,0.00025912132114171984,-0.00016348525241483003,0.0031222831457853317
10,-0.0004239391940277777,-0.0004239391940277777,-0.0004239391940277777,-0.0004239391940277777,0.0,-0.0004239391940277777,0.0,-0.03719910721061751,-0.003923885831900406,3.3275222162902356,0.006342562499048654,0.06011962890625,3.5491524342905476e-05,0.00138653963804245,7.104367978172377e-05,0.0015283782267943025
